GEOGRAPHY,GEOGRAPHY_NAME,GEOGRAPHY_CODE
1811939621,Adur,E07000223
1811939349,Allerdale,E07000026
1811939407,Amber Valley,E07000032
1811939622,Arun,E07000224
1811939436,Ashfield,E07000170
1811939592,Ashford,E07000105
1811939517,Babergh,E07000200
1807745125,Barking and Dagenham,E09000002
1807745126,Barnet,E09000003
1807745068,Barnsley,E08000016
1811939350,Barrow-in-Furness,E07000027
1811939484,Basildon,E07000066
1811939581,Basingstoke and Deane,E07000084
1811939437,Bassetlaw,E07000171
1807745164,Bath and North East Somerset,E06000022
1807745100,Bedford,E06000055
1807745127,Bexley,E09000004
1807745092,Birmingham,E08000025
1811939415,Blaby,E07000129
1807745039,Blackburn with Darwen,E06000008
1807745040,Blackpool,E06000009
1807745203,Blaenau Gwent,W06000019
1811939408,Bolsover,E07000033
1807745046,Bolton,E08000001
1811939422,Boston,E07000136
1807745172,"Bournemouth, Christchurch and Poole",E06000058
1807745144,Bracknell Forest,E06000036
1807745072,Bradford,E08000032
1811939485,Braintree,E07000067
1811939510,Breckland,E07000143
1807745128,Brent,E09000005
1811939486,Brentwood,E07000068
1807745194,Bridgend,W06000013
1807745145,Brighton and Hove,E06000043
1807745166,"Bristol, City of",E06000023
1811939511,Broadland,E07000144
1807745129,Bromley,E09000006
1811939467,Bromsgrove,E07000234
1811939496,Broxbourne,E07000095
1811939438,Broxtowe,E07000172
1807745157,Buckinghamshire,E06000060
1811939365,Burnley,E07000117
1807745047,Bury,E08000002
1807745202,Caerphilly,W06000018
1807745073,Calderdale,E08000033
1811939479,Cambridge,E07000008
1807745106,Cambridgeshire,E10000003
1807745111,Camden,E09000007
1811939447,Cannock Chase,E07000192
1811939593,Canterbury,E07000106
1807745197,Cardiff,W06000015
1811939351,Carlisle,E07000028
1807745191,Carmarthenshire,W06000010
1811939487,Castle Point,E07000069
1807745101,Central Bedfordshire,E06000056
1807745189,Ceredigion,W06000008
1811939416,Charnwood,E07000130
1811939488,Chelmsford,E07000070
1811939656,Cheltenham,E07000078
1811939605,Cherwell,E07000177
1807745041,Cheshire East,E06000049
1807745042,Cheshire West and Chester,E06000050
1811939409,Chesterfield,E07000034
1811939623,Chichester,E07000225
1811939366,Chorley,E07000118
1807745112,City of London,E09000001
1811939489,Colchester,E07000071
1807745184,Conwy,W06000003
1811939352,Copeland,E07000029
1807745167,Cornwall,E06000052
1811939657,Cotswold,E07000079
1807745026,County Durham,E06000047
1807745093,Coventry,E08000026
1811939387,Craven,E07000163
1811939624,Crawley,E07000226
1807745130,Croydon,E09000008
1807745045,Cumbria,E10000006
1811939497,Dacorum,E07000096
1807745025,Darlington,E06000005
1811939594,Dartford,E07000107
1807745185,Denbighshire,W06000004
1807745077,Derby,E06000015
1807745081,Derbyshire,E10000007
1811939410,Derbyshire Dales,E07000035
1807745177,Devon,E10000008
1807745069,Doncaster,E08000017
1807745179,Dorset,E06000059
1811939595,Dover,E07000108
1807745094,Dudley,E08000027
1807745131,Ealing,E09000009
1811939480,East Cambridgeshire,E07000009
1811939640,East Devon,E07000040
