"UTLA20CD","UTLA20NM","LSOA11CD","LSOA11NM","NOMIS Code"
"E06000058","Bournemouth, Christchurch and Poole","E01015272","Bournemouth 016A",1249917408
"E06000058","Bournemouth, Christchurch and Poole","E01015374","Bournemouth 009C",1249917507
"E06000058","Bournemouth, Christchurch and Poole","E01015273","Bournemouth 016B",1249917409
"E06000058","Bournemouth, Christchurch and Poole","E01020349","Christchurch 003A",1249922385
"E06000058","Bournemouth, Christchurch and Poole","E01015375","Bournemouth 009D",1249917508
"E06000058","Bournemouth, Christchurch and Poole","E01015274","Bournemouth 018A",1249917410
"E06000058","Bournemouth, Christchurch and Poole","E01020350","Christchurch 003B",1249922386
"E06000058","Bournemouth, Christchurch and Poole","E01015376","Bournemouth 013D",1249917509
"E06000058","Bournemouth, Christchurch and Poole","E01015275","Bournemouth 016C",1249917411
"E06000058","Bournemouth, Christchurch and Poole","E01020351","Christchurch 002A",1249922387
"E06000058","Bournemouth, Christchurch and Poole","E01015377","Bournemouth 009E",1249917510
"E06000058","Bournemouth, Christchurch and Poole","E01015276","Bournemouth 016D",1249917412
"E06000058","Bournemouth, Christchurch and Poole","E01020352","Christchurch 002B",1249922388
"E06000058","Bournemouth, Christchurch and Poole","E01015378","Bournemouth 010E",1249917511
"E06000058","Bournemouth, Christchurch and Poole","E01015277","Bournemouth 016E",1249917413
"E06000058","Bournemouth, Christchurch and Poole","E01020353","Christchurch 002C",1249922389
"E06000058","Bournemouth, Christchurch and Poole","E01015379","Poole 002A",1249917512
"E06000058","Bournemouth, Christchurch and Poole","E01015279","Bournemouth 019B",1249917414
"E06000058","Bournemouth, Christchurch and Poole","E01015323","Bournemouth 006B",1249917457
"E06000058","Bournemouth, Christchurch and Poole","E01015280","Bournemouth 019C",1249917415
"E06000058","Bournemouth, Christchurch and Poole","E01015281","Bournemouth 019D",1249917416
"E06000058","Bournemouth, Christchurch and Poole","E01015282","Bournemouth 019E",1249917417
"E06000058","Bournemouth, Christchurch and Poole","E01015380","Poole 007A",1249917513
"E06000058","Bournemouth, Christchurch and Poole","E01020354","Christchurch 007A",1249922390
"E06000058","Bournemouth, Christchurch and Poole","E01015283","Bournemouth 017A",1249917418
"E06000058","Bournemouth, Christchurch and Poole","E01015381","Poole 007B",1249917514
"E06000058","Bournemouth, Christchurch and Poole","E01020355","Christchurch 007B",1249922391
"E06000058","Bournemouth, Christchurch and Poole","E01015285","Bournemouth 021A",1249917419
"E06000058","Bournemouth, Christchurch and Poole","E01015382","Poole 007C",1249917515
"E06000058","Bournemouth, Christchurch and Poole","E01020356","Christchurch 007C",1249922392
"E06000058","Bournemouth, Christchurch and Poole","E01015286","Bournemouth 017C",1249917420
"E06000058","Bournemouth, Christchurch and Poole","E01015383","Poole 007D",1249917516
"E06000058","Bournemouth, Christchurch and Poole","E01020357","Christchurch 003C",1249922393
"E06000058","Bournemouth, Christchurch and Poole","E01015287","Bournemouth 017D",1249917421
"E06000058","Bournemouth, Christchurch and Poole","E01015384","Poole 007E",1249917517
"E06000058","Bournemouth, Christchurch and Poole","E01020358","Christchurch 003D",1249922394
"E06000058","Bournemouth, Christchurch and Poole","E01015288","Bournemouth 021B",1249917422
