,date,geography,cause of death,Gender,Age,measure,measures,value
0,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,total (all ages),Deaths,Value,4279
1,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged under 1,Deaths,Value,5
2,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 1 to 4,Deaths,Value,5
3,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 5 to 9,Deaths,Value,0
4,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 10-14,Deaths,Value,0
5,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 15-19,Deaths,Value,5
6,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 20-24,Deaths,Value,5
7,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 25-29,Deaths,Value,9
8,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 30-34,Deaths,Value,24
9,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 35-39,Deaths,Value,15
10,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 40-44,Deaths,Value,37
11,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 45-49,Deaths,Value,63
12,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 50-54,Deaths,Value,75
13,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 55-59,Deaths,Value,119
14,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 60-64,Deaths,Value,161
15,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 65-69,Deaths,Value,241
16,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 70-74,Deaths,Value,306
17,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 75-79,Deaths,Value,427
18,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 80-84,Deaths,Value,701
19,2013,"Bournemouth, Christchurch and Poole","A00-R99,U00-Y89 All causes, all ages",Total,Aged 85-89,Deaths,Value,923
